år 2002;år 2003;år 2004;år 2005;år 2006;år 2007;år 2008;år 2009;år 2010;år 2011;år 2012;år 2013;år 2014;år 2015;år 2016;år 2017;år 2018;år 2019
00 Riket;taxi;13243;13160;13865;13931;14267;14830;14804;14980;15214;15757;15962;15975;16248;16294;17104;17537;17705;18436
01 Stockholms län;taxi;4664;4641;5051;5107;5244;5475;5579;5639;5899;6135;6126;6122;6379;6397;6782;7159;7287;7623
03 Uppsala län;taxi;443;438;435;436;440;474;470;469;490;505;533;542;545;539;571;579;577;552
04 Södermanlands län;taxi;303;341;357;389;374;319;267;254;252;273;259;256;358;318;418;341;352;351
05 Östergötlands län;taxi;429;415;430;415;425;432;469;468;472;480;480;521;528;556;579;577;581;651
06 Jönköpings län;taxi;286;278;286;281;286;296;293;300;294;293;309;300;272;323;339;334;299;317
07 Kronobergs län;taxi;180;183;188;176;174;181;192;181;173;177;179;163;169;165;177;183;194;205
08 Kalmar län;taxi;246;235;266;271;288;293;283;262;258;259;250;237;231;225;223;241;220;279
09 Gotlands län;taxi;71;74;82;83;79;74;85;82;85;81;78;73;79;93;91;90;91;105
10 Blekinge län;taxi;148;140;157;141;144;161;161;159;156;151;155;141;134;138;119;129;120;123
12 Skåne län;taxi;1390;1341;1375;1457;1496;1572;1626;1759;1757;1758;1781;1894;1761;1749;1802;1873;1824;1877
13 Hallands län;taxi;320;330;342;328;328;348;343;339;342;341;309;321;319;329;313;306;355;358
14 Västra Götalands län;taxi;1960;1937;1979;1988;2069;2230;2080;2074;2054;2257;2460;2375;2388;2389;2601;2622;2692;2797
17 Värmlands län;taxi;309;297;300;296;290;299;303;314;311;328;316;308;308;304;241;252;264;271
18 Örebro län;taxi;261;266;303;318;332;345;341;351;355;381;379;385;358;353;451;434;438;576
19 Västmanlands län;taxi;268;272;287;275;294;275;284;302;304;341;328;333;347;344;331;350;329;311
20 Dalarnas län;taxi;287;320;313;300;289;305;296;291;285;282;286;278;343;326;321;319;317;302
21 Gävleborgs län;taxi;278;271;293;293;304;306;305;307;306;307;315;308;305;294;318;313;323;322
22 Västernorrlands län;taxi;321;319;325;309;327;344;344;322;328;341;349;359;358;354;325;323;325;321
23 Jämtlands län;taxi;276;267;270;258;254;271;255;254;247;233;236;234;233;238;241;233;222;225
24 Västerbottens län;taxi;395;384;405;398;411;415;419;427;432;428;420;408;400;417;434;434;468;467
25 Norrbottens län;taxi;408;411;421;412;419;415;406;423;414;405;413;417;433;440;424;439;420;399
0114 Upplands Väsby;taxi;164;160;150;162;177;189;155;148;155;160;152;137;134;142;157;175;189;211
0115 Vallentuna;taxi;52;44;43;41;38;36;38;56;46;46;45;52;44;51;49;55;59;61
0117 Österåker;taxi;60;59;63;66;66;64;61;73;81;89;88;88;77;73;87;83;75;58
0120 Värmdö;taxi;88;82;93;91;88;93;88;72;73;69;73;71;66;66;56;56;51;38
0123 Järfälla;taxi;122;109;102;100;133;160;183;157;177;227;255;268;298;293;355;402;434;478
0125 Ekerö;taxi;47;44;48;50;50;50;58;61;54;52;55;51;64;56;49;35;27;31
0126 Huddinge;taxi;249;265;303;293;278;289;296;276;278;310;318;340;333;409;377;432;440;459
0127 Botkyrka;taxi;243;240;252;249;249;268;306;324;340;339;369;430;506;550;536;567;665;617
0128 Salem;taxi;23;24;56;54;53;58;61;62;61;18;22;21;23;33;33;41;36;40
0136 Haninge;taxi;194;202;192;199;194;202;213;245;235;234;272;305;311;297;302;246;276;287
0138 Tyresö;taxi;57;46;42;42;40;30;28;41;45;50;40;25;22;23;22;20;21;22
0139 Upplands-Bro;taxi;34;43;47;49;43;42;38;41;37;37;34;34;35;46;45;53;56;64
0140 Nykvarn;taxi;2;1;1;2;2;3;3;2;1;0;0;0;3;5;3;5;7;8
0160 Täby;taxi;107;108;164;158;159;148;153;154;165;173;163;149;139;119;121;116;126;120
0162 Danderyd;taxi;38;35;24;24;25;29;20;18;12;14;12;14;11;11;19;22;25;27
0163 Sollentuna;taxi;180;174;186;197;230;207;200;212;219;174;184;223;235;226;214;226;235;250
0180 Stockholm;taxi;2090;2121;2302;2334;2398;2583;2675;2644;2827;3034;3008;2895;3013;2942;3249;3467;3345;3512
0181 Södertälje;taxi;104;111;125;127;151;167;165;161;167;172;176;171;200;208;241;271;298;286
0182 Nacka;taxi;155;143;155;162;166;166;170;188;205;212;207;194;200;200;188;202;195;200
0183 Sundbyberg;taxi;136;123;127;139;153;137;115;129;142;110;98;106;106;101;121;136;147;155
0184 Solna;taxi;184;175;174;174;175;170;158;164;165;181;172;166;176;185;195;207;235;230
0186 Lidingö;taxi;55;44;54;49;54;54;50;48;46;46;42;45;43;38;58;51;52;62
0187 Vaxholm;taxi;10;11;19;22;18;21;17;20;21;23;22;11;11;11;16;14;12;11
